Title,Date,Content,Url
我校与省质检院共商公共平台共建事宜,2014-11-24, 11月20日上午，合肥工业大学与安徽省产品质量监督检验研究院共同建设安徽省新产品检测检验公共平台座谈会在我校举行，副校长、智能院院长刘志峰，安徽省产品质量监督检验研究院院长何汉翔出席座谈会。 座谈会上，刘志峰说，共建安徽省新产品检验检测平台是落实和深化合肥工业大学与安徽省自检技术监督局全面战略合作的重要举措，也是合肥工业大学智能制造技术研究院建设的重要内容，双方领导高度重视，双方单位紧密合作，各项工作快速推进，成果显著。他希望首先从机械、汽车、电气、新能源新产品检测检验平台共建入手，成熟一个建设一个，稳扎稳打，有序进行，同时把握时机，共同申报建设国家级的新产品检验检测平台。 何汉翔在讲话中希望充分发挥校院双方的人才、技术、设备、资源等优势，通过产学研紧密合作的方式共建新产品检验检测平台，提高为产品、为企业、为地方经济发展服务的技术和水平，必将对地方企业的转型升级、高新技术产业的发展产生巨大的促进作用。安徽省产品质量监督检验研究院高度重视，抽取了精兵强将，成立了专门的部门，全力推进此项工作的开展，力争早日建成，早见成效。 随后，安徽省产品质量监督检验研究院科技规划部部长方明、机械装备产品检测研究中心主任巫绪康、省皖江质量检测科技有限公司总经理潘宗岭，学校试验室与基地建设办公室、机械与汽车工程学院、电气工程学院、智能制造技术研究院等单位负责同志就下一步具体合作事项进行了深入交流。 会后，有关人员先后参观了相关试验室。,http://news.hfut.edu.cn/show-162-13687-1.html
湖南农业大学副校长陈岳堂一行来校,2014-11-24, 11月21日上午，湖南农业大学副校长陈岳堂一行，就学校资产管理、后勤服务等工作来我校调研。 总会计师闫平在行政一号楼二楼会议室会见了来宾。闫平对陈岳堂一行的到访表示欢迎，他简要介绍了我校的基本情况及财务部、总务部、资产经营公司的相关工作，并希望双方互相学习借鉴，进一步提高后勤服务保障与资产管理水平。 陈岳堂对我校的热情接待表示感谢。他说，合肥工业大学近年来的发展非常迅速，借此座谈交流机会，学习合肥工大在资产经营公司的运营模式、国有资产的有偿使用管理及后勤服务保障等方面的经验和做法，望今后两校能够加强交流和合作，共同发展。 我校校长助理、资产经营公司总经理景和平，总务部、财务部相关部门负责人参加了座谈，并结合我校具体情况与来访人员进行了交流。湖南农业大学副校长陈岳堂一行来校,http://news.hfut.edu.cn/show-162-13672-1.html
合肥市科技局代表团来校调研,2014-11-24, 11月19日下午，合肥市科技局局长朱策率机器人行业企业家与专家一行来我校智能院调研机器人发展情况。 在调研交流会上，朱策介绍了合肥市的机器人产业发展的态势和支持政策，并对智能院接下来的工作给予指导。随后，副校长、智能院院长刘志峰介绍了智能院的建设与发展以及机器人的研究情况。 校长徐枞巍专程就学校重大科研项目落地相关事宜请合肥市给予必要的支持。 会后，与会人员参观了安徽省重点实验室-情感计算与先进智能机器研究所。 合肥市经信委、科技局、高新技术产业促进中心，我校机械与汽车工程学院、智能院等单位相关负责人，以及我校机器人相关研究所教授代表和合肥市部分企业代表参加了调研会。,http://news.hfut.edu.cn/show-162-13698-1.html
校长徐枞巍率队访问成都部分中航工业企业,2014-11-26, 为进一步拓展学校产学研合作空间和领域，推动落实我校与中航工业集团签署的战略合作框架协议，校长徐枞巍于11月20至24日率团赴成都，访问了成都发动机集团公司、中国燃气涡轮研究院、成都飞机制造公司、成都飞机设计研究所等部分中航工业企业和中国东方电气集团公司。 中航工业成都发动机（集团）有限公司创建于1958年，是中国航空发动机及其衍生产品科研、制造基地。在中航工业成都发动机（集团）有限公司，公司董事长陈锦，党委书记、总经理孙岩峰，副总经理刘建、王南海等公司负责人热情接待了徐枞巍一行，并陪同参观了叶片、机匣、热表、装试生产现场，然后进行座谈交流。 中航工业中国燃气涡轮研究院始建于1965年，是我国航空发动机预研设计和大型试验研究基地。中航工业中国燃气涡轮研究院院长王永明，院长助理康涌、曹磊等研究院负责人热情接待了徐枞巍一行，并召开座谈交流会。 中航工业成都飞机制造公司创建于1958年，是我国航空武器装备研制生产、装备出口的主要基地和民机零部件重要制造商。中航工业成都飞机制造公司董事长、党委书记程福波，副总经理杨卫东等公司负责人，陪同徐枞巍一行参观了公司展厅、总装配车间、数控加工中心、装试生产现场，双方还进行了座谈交流。 中航工业成都飞机设计研究所建于1970年，主要从事飞行器设计和航空航天多学科综合性研究，是中国现代化歼击机设计研究的重要基地。中航工业成都飞机设计研究所总设计师王海峰、所长助理张伟等热情接待了徐枞巍一行，并陪同参观了体验枭龙战机的三D模拟驾驶舱，然后进行座谈交流。 中国东方电气集团有限公司是中央确定的涉及国家安全和国民经济命脉的53户国有重要骨干企业之一，是我国最大的发电设备制造基地。中国东方电气集团有限公司总经理斯泽夫，党组副书记、常务副总经理张晓伦，党组成员、副总经理、我校校友朱元巢等公司负责人热情接待了徐枞巍一行，并陪同参观了公司展厅，然后进行座谈交流。 在成都访问期间，徐枞巍向到访单位介绍了学校的发展历史、基本办学情况和近年来取得的办学成就，强调学校经过近70年的发展，基本形成了“工程基础厚、工作作风实、创业能力强”的人才培养特色；“论文写在产品上，研究做在工程中，成果转化在企业里”产学研合作的科学研究特色；扎根江淮，工业报国，服务国家装备制造业和地方经济社会发展的社会服务特色。徐枞巍的介绍和宣传，引起了各单位的广泛兴趣，得到了他们的高度评价，并在科研合作、学生就业和人才培养、建立联络人机制等方面达成了意向，进一步加深了学校与到访单位的交流和沟通，取得了预期效果。 访问期间，徐枞巍一行还拜访了我校杰出校友、中国工程院院士陈鲸教授，并与陈院士项目团队进行了座谈。 陪同徐枞巍出访的有校长助理、科研院常务副院长李钢以及北京宏博远达科技有限公司，我校机械与汽车工程学院、电气与自动化工程学院、计算机与信息学院、仪器科学与光电工程学院、科学技术研究院国防装备技术研究院和科技合作办公室、校务部党政办公室等单位负责人和老师。校长徐枞巍率队访问成都部分中航工业企业,http://news.hfut.edu.cn/show-162-13724-1.html
校领导访问广东部分企业,2014-11-28, 11月23日至26日，副校长刘志峰一行在广东先后考察了广州市三泰汽车内饰材料有限公司、鸿纳新材料科技有限公司、深圳达实智能股份有限公司和深圳南鹏信息技术有限公司，并应邀参加了中国内燃机工业协会小汽油机分会2014年年会。 刘志峰向企业介绍了学校的概况及学科优势，重点说明了合肥工业大学智能制造技术研究院的发展思路、发展方向、相关政策及支持条件，并就企业在经营发展中遇到的技术问题与企业进行了探讨。这些企业非常关注学校及智能院的建设与发展，并表达了积极的合作意向。 广州市三泰汽车内饰材料有限公司成立于2000年，现有一个研发中心、两个生产基地、三个全资子公司，是集产品研发、生产、销售及技术服务一体化的国家高新技术企业。 鸿纳新材料科技有限公司成立于2012年5月，是一家致力于石墨烯及其复合材料的研发及生产的高新技术企业。鸿纳产品服务于新能源、电子、交通运输、环保等领域，提供多领域少层石墨稀的应用解决方案和专业技术支持。 深圳南鹏信息技术有限公司于1993年成立。作为国内音视频行业的先驱者，南鹏科技已经在中国成功建立了包括服务、技术、销售在内的业务机构。 深圳达实智能股份有限公司成立于1995年，是国内领先的建筑智能化及节能服务商。公司董事长刘磅校友热情接待了刘志峰一行，陪同参观公司并进行了座谈交流。校领导访问广东部分企业,http://news.hfut.edu.cn/show-162-13774-1.html
安徽工业大学副校长葛芦生一行来校调研,2014-12-05, 12月3日下午，安徽工业大学副校长、民盟安工大基层委员会主委葛芦生一行来我校调研。 校党委副书记、纪委书记周军对葛芦生一行来访表示热烈欢迎，并介绍了我校改革建设发展和统战工作的基本情况。原民盟省委主委刘光复表达了对民盟组织的深厚情谊，畅谈了中国共产党多党合作的优良传统。我校民盟基层委员会主委魏臻介绍了学校民盟基层组织的基本情况、开展的工作以及取得的成绩，对如何进一步做好基层党派工作谈了经验和体会。 葛芦生表示，合工大民主党派工作有着优良的传统，希望双方今后继续开展交流活动，共同提高民主党派的工作水平。 座谈会由我校民盟基层委员会副主委李学良主持，我校民盟基层委员会负责人及统战部相关人员参加了会议。,http://news.hfut.edu.cn/show-162-13857-1.html
中航工业基础院来我校洽谈合作,2014-12-05, 12月4日，中国航空工业集团公司基础技术研究院特技专务、副院长周国强一行来访我校，洽谈合作事宜。 当天下午，在学校相关人员的陪同下，周国强一行参观了我校光电技术研究院、电气与自动化工程学院部分实验室，并与我校科研人员就相关技术问题进行了交流。 在随后举行的座谈会上，校长徐枞巍与周国强就进一步推动落实中航工业集团与合肥工业大学签署的战略合作框架协议，拓展双方合作的空间和领域等进行了沟通，并达成了初步合作意向。校长助理李刚主持座谈会。 座谈中，中航工业基础院、中航工业合肥航太电物理技术有限公司相关负责人详细介绍了本单位的基本情况、优势研究领域、构建科技创新体系的主要举措及相关技术需求等内容。我校仪器科学与光电工程学院、电气与自动化工程学院、机械与汽车工程学院、材料科学与工程学院、电子科学与应用物理学院、计算机与信息学院相关负责人分别介绍了学院最新的研究成果与技术进展。双方还就进一步加强合作进行了深入地讨论与交流，提出了意见和建议。 周国强和徐枞巍表示，近年来，中航工业基础院努力构建协同开放的科技创新体系，不断提升航空基础技术能力；合肥工业大学瞄准国家重大战略需求，努力服务于国防军工和国家装备制造业，科技创新能力不断提升。他们希望在气动、强度、材料、精密铸造、制造、电磁窗、计量与校准、测试、信息化、质量工程、雷电防护、前沿技术与交叉学科等相关领域，不断拓展合作空间，创新合作模式。他们建议双方在此次洽谈的基础上，进一步形成长效沟通机制，建立定期例会制度；定期开展技术交流；联合组建团队，实现资源共享，共同开展项目策划与论证，联合申报重大项目；发挥双方优势，联合承担人才培养计划。他们希望通过双方的共同努力和精诚合作，实现合作共赢。中航工业基础院来我校洽谈合作,http://news.hfut.edu.cn/show-162-13863-1.html
我校参加深圳虚拟大学园2014年联席会议,2014-12-09, 日前，深圳虚拟大学园成立十五周年暨第十六届联席会议在深圳市南山高新区软件大厦召开。来自国内外57所著名高校的领导、嘉宾与诸位首席代表、重点实验室负责人共襄盛会，一道回顾了虚拟大学园15年间结出的累累硕果。校副校长刘晓平出席了联席会议，并在园内15周年大学林植下“合肥工业大学”纪念树。 深圳虚拟大学园以市场为导向，整合高校、科研机构、企业、事业单位的优势于一身，快速聚集创新资源，以创新“一园多校，市校共建”的独特模式在高层人才培养、科技成果转化和科技企业的孵化等方面，取得了突出的成绩，已成为研发机构的聚集地、中小企业成长营，国际人才交流与科研合作的平台。虚拟大学园历经15年的拼搏努力，培养硕博人才21万人次，孵化企业861家（其中上市企业33家）。,http://news.hfut.edu.cn/show-162-13918-1.html
浙江农林大学副校长鲍滨福一行来访,2014-12-10, 12月8日下午，浙江农林大学副校长鲍滨福一行来访我校，就产学研合作、科技成果转化、校办产业和教师科技创业管理等方面进行调研学习。副校长刘晓平在学术会议中心第一会议室会见来宾，并与之进行了座谈。 刘晓平代表学校对鲍滨福一行的来访表示热烈欢迎，并介绍了合肥工业大学的基本情况，特别介绍了学校在科研方面的定位，以及产学研合作方面的一些经验和做法。他指出，学校近年来通过“春华”、“秋实”计划，不断提升学校自主创新能力，学校科研实力不断增强。学校也始终保持与企业的密切合作，形成了“构筑一个基地、延伸两个角、凸显一个点、服务一个岛”的产学研用合作新格局。 鲍滨福感谢学校的热情接待。他说，合肥工大在科研、产学研方面的做法，值得学习和借鉴。他也提出了浙江农林大学在科研和教师创业方面所遇到的问题，希望和工大一起相互探讨，互相促进。 科研院、资产经营公司相关部门负责人参加了座谈会，并与来宾进行了深入的交流。浙江农林大学副校长鲍滨福一行来访,http://news.hfut.edu.cn/show-162-13912-1.html
上海电气（集团）总公司党委副书记总裁王强一行来校洽谈合作,2014-12-12, 12月11日下午，上海电气（集团）总公司党委副书记、总裁王强一行来访我校，参观考察了学校能源研究院中试实验基地，听取了相关人员的介绍，并就校企产学研合作事宜与校领导进行了交流。 在交流座谈中，徐枞巍对王强一行来我校考察合作表示热烈欢迎，并介绍了学校的发展现状和与上海电气的合作历史。他说，近70年来，合肥工业大学师生一直把工业报国作为自己的追求，努力为国家的经济建设和企业的创新发展贡献力量。今后，学校将一如既往地发扬学科特色，继续服务于企业，服务于国家和社会。徐枞巍希望校企双方在深入交流的基础上，相互支持，拓展新的合作空间，开启新的发展历程。 王强对学校的热情接待表示感谢，肯定了我校产学研合作取得的成绩。他表示，双方在一些项目上的研究方向是一致的，希望双方就生物质成型燃料技术、生物质高温超焓燃烧锅炉技术等加强合作，共同为新能源技术产业化发展做出贡献。 先进能源技术与装备研究院院长邢献军对生物质成型燃料技术、生物质高温超焓燃烧锅炉技术、生物煤炭制备技术、生活垃圾高效清洁燃烧技术等项目以及未来拓展的研究领域作了详细介绍。会上，双方就这些新能源技术进行了广泛交流。 安徽省发改委副主任、能源局局长刘健陪同考察调研。他表示，发改委将做好各项服务工作，积极协调好校企产学研合作，支持协助上海电气在安徽的发展。 座谈会由副校长刘志峰主持。上海电气相关负责人、我校科学技术研究院等相关部门负责同志参加了座谈。　上海电气（集团）总公司党委副书记总裁王强一行来校洽谈合作,http://news.hfut.edu.cn/show-162-13993-1.html
校长徐枞巍赴六安市调研产学研合作,2014-12-15, 12月12日上午，校长徐枞巍应邀参加六安大学科技园开园仪式并参观调研了部分企业。 该科技园主要依托大学的科技研发成果，汇聚多方资源搭建载体和平台，为大学生创业、初创企业孵化、科技项目研发提供场地，为六安承接产业转移重要基地。目前与我校合作的安徽省恒运水处理机械研发有限公司和六安晨宇干燥机设备研发有限公司作为首批签约企业已经入驻该科技园。 仪式结束后，徐枞巍参观走访了安徽星瑞齿轮传动有限公司（原六安江淮汽车齿轮制造有限公司）、安徽博微长安电子有限公司、六安江淮电机有限公司等企业，并与企业负责人和技术人员进行了交流。 自2012年学校与六安市战略合作协议签字仪式以来，双方在科技创业、成果转化、人才交流、区域发展等领域加强合作，共签订合作项目30多项，合同经费近1000万元，其中生物与食品工程学院教授罗建平与霍山天下泽雨生物科技有限公司签订的“霍山石斛新产品研发关键技术”、生物机电研究所教授袁传勋与安徽大别山科技开发有限公司签订的“油菜籽系列功能产品开发”两个项目合同经费分别超过150万元。市校初步形成了经济社会发展重大战略研究、科技创新与成果转化、产业升级与人力资源开发利用等领域建立全方位、多层次的合作推进机制，建立了长期稳定的市校合作关系。校长徐枞巍赴六安市调研产学研合作,http://news.hfut.edu.cn/show-162-14034-1.html
新疆国家305项目办公室主任段生荣一行来访我校,2014-12-18, 12月15日上午，新疆国家305项目办公室主任段生荣一行来访我校，对我校承担的国家305项目进行调研。 校长徐枞巍向客人介绍了我校资源与环境工程学院地质学学科的历史沿革以及近年来所取得的成果，希望我校与新疆国家305项目办公室进一步深化合作。 段生荣介绍了新疆国家305项目办公室的业务职能，对我校承担的国家科技支撑计划项目所取得的进展表示满意。 调研中，双方还就我校未来扩大在新疆地区的矿产资源研究和人才培养等进行了深入探讨并达成重要共识。 新疆国家305项目办公室地矿处、综合处，我校科学技术研究院、资环学院相关负责人参加了活动。 新疆是我国21世纪战略性矿产资源重要接替基地。上世纪80年代初，中央提出了把新疆和整个大西北建设成为我国经济建设重要基地的宏观战略设想。1985年3月，原国家科委、原国家计委和国家财政部联合发出第305号文件，批准“加速查明新疆矿产资源的地质、地球物理、地球化学综合研究”项目为国家“七五”科技攻关重点项目，简称“国家305项目”，项目管理办公室简称为“国家305项目办公室”。主要负责国家在新疆设立的地质矿产科技计划项目的申报、实施过程的日常管理和组织协调工作；协调新疆联合区外科技力量，针对国家重大需求和资源与环境科学前沿的重要问题，筹备和实施重大科研项目；围绕国家战略需求，开展国际地质科技合作与交流，为利用“两种资源”做好基础性工作；承担与国家305项目有关的各项工作。新疆国家305项目办公室主任段生荣一行来访我校,http://news.hfut.edu.cn/show-162-14077-1.html
宿迁市宿城区来校洽谈科技人才合作,2014-12-19, 12月18日，宿迁市宿城区副区长、科技镇长团团长熊威一行来校洽谈科技人才合作。党委常委、组织部部长季益洪在学术会议中心第一会议室会见来访客人。 熊威对我校的热情接待表示感谢，他介绍了此行来访的目的以及宿迁市宿城区的经济社会发展状况和区位优势，希望能与我校在产学研合作、人才培养和智力支撑等多个领域达成合作意向。宿城区组织部副部长、人才办主任朱志远解读了地方政府对科研团队及科技人才的支持政策。宿城区科技局办公室主任周健介绍了宿城区“科技副总”、“科技创新劵”等产学研合作鼓励和支持政策。参会企业分别介绍了企业生产经营中面临的技术难题和技术需求。 季益洪对熊威一行的来访表示欢迎，并介绍了我校的基本情况和科技镇长团工作情况。季益洪对江苏地区科技镇长团的务实精神表示赞赏，希望双方能够以此为契机，搭建良好的合作平台，为地方经济发展和科技成果产业化助力。学生就业中心主任尉德芳介绍了我校毕业生就业情况，并希望在宿城区建立就业实践基地。科技合作办公室主任李军鹏介绍了我校的产学研合作情况以及对区域经济社会发展的贡献和推动作用，并提出了解决技术需求、联合攻关、成果转化、共建平台等多种可行的合作模式。化学与化工学院、机械与汽车工程学院专家对企业提出的技术难题和技术需求给予了解答，并与来访企业在会后进行了深入交流。 党政办公室、科技合作办公室相关人员参加会见。,http://news.hfut.edu.cn/show-162-14106-1.html
我校与澳大利亚蒙纳士大学合作办学项目推进会召开,2014-12-23, 12月19日下午，我校与澳大利亚蒙纳士大学(Monash University)合作办学项目推进会在国际事务部、国际教育学院会议室召开。 应我校邀请，蒙纳士大学中国代表冯一江再次来访，就推动本硕专业的两校联合培养、合作办学项目进行进一步商谈。 我校副校长赵韩介绍了我校国际合作与交流的现状及兄弟院校的成功经验。他指出，国家十分重视中外合作办学，高校国际化是高校发展的大势所趋。他强调，我校要加强国际合作与交流工作，各学院都应参与推动该类项目。 冯一江介绍了蒙纳士大学的基本情况、中外合作办学的模式及该校与中国大陆高校合作的现状。他就与会人员提出的关于合作专业、培养方式、学费、申报等方面的问题作了解答。 我校机械与汽车工程学院、电气与自动化工程学院、计算机与信息学院、土木与水利工程学院、经济学院、建筑与艺术学院、资源与环境工程学院、医学工程学院相关负责人、外事秘书、教师代表，以及国际教育学院负责人等参加了会议。会议由国际事务部部长、国际教育学院院长檀结庆主持。我校与澳大利亚蒙纳士大学合作办学项目推进会召开,http://news.hfut.edu.cn/show-162-14146-1.html
